{37.0000,100.0000,0.8000,0.1800,1.0000,1.0000,0.0000},
{39.0000,75.0000,0.2000,0.2400,1.0000,1.0000,0.0000},
{136.0000,29.0000,0.4800,0.5600,1.0000,1.0000,0.0000},
{38.0000,61.0000,0.6200,0.3600,1.0000,0.0800,0.0000},
{87.0000,55.0000,0.4400,0.6000,1.0000,0.1000,0.0000},
{85.0000,35.0000,0.1000,0.6800,0.8000,1.0000,0.0000},
{16.0000,25.0000,0.5600,0.1000,1.0000,0.0200,0.0000},
{44.0000,61.0000,0.7400,0.6600,1.0000,1.0000,0.0000},
{57.0000,83.0000,0.2800,0.1200,1.0000,1.0000,0.0000},
{24.0000,35.0000,0.4400,0.5200,0.0800,1.0000,0.0000},
{4.0000,15.0000,0.1000,0.2600,1.0000,1.0000,0.0000},
{74.0000,60.0000,0.5600,0.5600,0.0600,1.0000,0.0000},
{11.0000,2.0000,0.2200,0.0400,1.0000,1.0000,0.0000},
{33.0000,60.0000,0.7400,0.5800,0.4000,1.0000,0.0000},
{58.0000,94.0000,0.6800,0.4800,1.0000,1.0000,0.0000},
{34.0000,94.0000,0.8400,0.1200,1.0000,0.0200,0.0000},
{72.0000,89.0000,0.3200,0.0400,1.0000,0.1000,0.0000},
{11.0000,14.0000,0.7600,0.5200,1.0000,1.0000,0.0000},
{125.0000,5.0000,0.0800,0.9600,1.0000,1.0000,0.0000},
{21.0000,49.0000,0.6400,0.3400,0.2000,1.0000,0.0000},
{11.0000,16.0000,0.6000,0.7200,1.0000,1.0000,0.0000},
{62.0000,44.0000,0.3200,0.7600,1.0000,1.0000,0.0000},
{6.0000,14.0000,0.6400,0.1600,0.0400,1.0000,0.0000},
{7.0000,5.0000,0.2400,0.1600,1.0000,1.0000,0.0000},
{11.0000,8.0000,0.3600,0.5600,0.0600,1.0000,0.0000},
{40.0000,74.0000,0.5600,0.2800,1.0000,0.1000,0.0000},
{21.0000,7.0000,0.2800,0.7600,1.0000,0.2000,0.0000},
{63.0000,13.0000,0.6000,0.5200,1.0000,1.0000,0.0000},
{76.0000,38.0000,0.3400,0.7200,0.0600,1.0000,0.0000},
{15.0000,5.0000,0.0600,0.3400,1.0000,1.0000,0.0000},
{74.0000,78.0000,0.2400,0.0800,1.0000,0.0400,0.0000},
{11.0000,14.0000,0.5600,0.5600,1.0000,0.0200,0.0000},
{58.0000,63.0000,0.9200,0.4800,1.0000,0.0800,0.0000},
{5.0000,56.0000,0.9200,0.4400,1.0000,0.8000,0.0000},
{26.0000,73.0000,0.7000,0.1200,0.2000,1.0000,0.0000},
{11.0000,42.0000,0.2800,0.5600,1.0000,1.0000,0.0000},
{23.0000,7.0000,0.3200,0.3600,1.0000,1.0000,0.0000},
{47.0000,24.0000,0.2000,0.2800,1.0000,1.0000,0.0000},
{115.0000,5.0000,0.0800,0.4800,0.4000,1.0000,0.0000},
{75.0000,102.0000,0.4800,0.3200,1.0000,0.0400,0.0000},
{77.0000,118.0000,0.4400,0.2400,1.0000,1.0000,0.0000},
{29.0000,25.0000,0.0800,0.1400,1.0000,1.0000,0.0000},
{91.0000,84.0000,0.1600,0.3200,1.0000,0.4000,0.0000},
{144.0000,114.0000,0.5200,0.5600,1.0000,1.0000,0.0000},
{20.0000,44.0000,0.5800,0.1400,0.2000,1.0000,0.0000},
{42.0000,71.0000,0.1600,0.2800,0.0600,1.0000,0.0000},
{15.0000,17.0000,0.4200,0.4200,1.0000,1.0000,0.0000},
{38.0000,37.0000,0.1400,0.3000,1.0000,1.0000,0.0000},
{130.0000,68.0000,0.5800,0.7800,1.0000,1.0000,0.0000},
{70.0000,97.0000,0.3600,0.0800,1.0000,0.8000,0.0000}
